Voyage to Italy (re-release)
100
1/05/2013
Best Kept Secret
100
6/09/2013
12 Years a Slave
97
18/10/2013
Le Petit Soldat (re-release)
97
8/03/2013
First Cousin Once Removed
96
20/09/2013
Gravity
96
4/10/2013
Before Midnight
94
24/05/2013
Inside Llewyn Davis
94
"Dec 6, 2013"
Her
93
"Dec 18, 2013"
Gideon's Army
93
28/06/2013
Tristana (re-release)
93
22/02/2013
The Girls in the Band
92
10/05/2013
Out of the Clear Blue Sky
92
6/09/2013
Little Fugitive (re-release)
91
1/02/2013
The Gatekeepers
91
1/02/2013
Stories We Tell
90
10/05/2013
The Act of Killing
89
19/07/2013
Blue Is the Warmest Color
88
25/10/2013
Portrait of Jason (re-release)
87
"Apr 19, 2013"
All Is Lost
87
18/10/2013
The Selfish Giant
86
"Dec 20, 2013"
Drug War
86
26/07/2013
Let the Fire Burn
86
2/10/2013
Nebraska
85
15/11/2013
Stranger Things
85
"Apr 5, 2013"
Bridegroom
85
4/10/2013
The Great Beauty
85
15/11/2013
Fruitvale Station
85
12/07/2013
Valentino's Ghost
84
17/05/2013
The Wind Rises
84
8/11/2013
War Witch
84
1/03/2013
Dallas Buyers Club
84
1/11/2013
American Hustle
84
"Dec 13, 2013"
Museum Hours
83
28/06/2013
Blackfish
83
19/07/2013
20 Feet from Stardom
83
14/06/2013
La Camioneta: The Journey of One American School Bus
83
31/05/2013
I Killed My Mother
83
13/03/2013
Captain Phillips
83
11/10/2013
A.K.A. Doc Pomus
83
4/10/2013
56 Up
83
"Jan 4, 2013"
The Square
83
25/10/2013
Sweet Dreams
83
1/11/2013
Cutie and the Boxer
82
"Aug 16, 2013"
These Birds Walk
82
1/11/2013
Viola
82
12/07/2013
Short Term 12
82
"Aug 23, 2013"
Frances Ha
82
17/05/2013
A Hijacking
82
21/06/2013
Big Words
82
19/07/2013
The Spectacular Now
82
"Aug 2, 2013"
Blancanieves
82
29/03/2013
No
81
15/02/2013
Wadjda
81
13/09/2013
Gimme the Loot
81
22/03/2013
Upstream Color
81
"Apr 5, 2013"
At Berkeley
81
8/11/2013
The World's End
81
"Aug 23, 2013"
The Invisible Woman
81
"Dec 25, 2013"
When I Walk
80
25/10/2013
What Richard Did
80
10/05/2013
Room 237
80
29/03/2013
Fill the Void
80
24/05/2013
Call Me Kuchu
80
14/06/2013
Berberian Sound Studio
80
14/06/2013
Il Futuro
80
6/09/2013
Which Way Is the Front Line from Here? The Life and Time of Tim Hetherington
80
"Apr 12, 2013"
The Missing Picture
80
4/10/2013
Beyond the Hills
79
8/03/2013
Leviathan
79
1/03/2013
Downeast
79
8/03/2013
Enough Said
79
18/09/2013
Deceptive Practices: The Mysteries and Mentors of Ricky Jay
79
"Apr 17, 2013"
In a World...
79
"Aug 9, 2013"
108 (Cuchillo de Palo)
79
18/03/2013
Birders: The Central Park Effect
79
"Jan 18, 2013"
Our School
79
"Jan 18, 2013"
Cousin Jules
78
27/11/2013
In the Fog
78
14/06/2013
Blue Jasmine
78
26/07/2013
Not Yet Begun to Fight
78
25/10/2013
Memories Look at Me
78
2/05/2013
Pavilion
78
1/03/2013
Much Ado About Nothing
78
7/06/2013
Resolution
78
"Jan 25, 2013"
Our Children
78
"Aug 2, 2013"
The Crash Reel
77
5/07/2013
Seduced and Abandoned
77
18/10/2013
Mother of George
77
13/09/2013
The World Before Her
77
7/05/2013
A River Changes Course
77
4/10/2013
London - The Modern Babylon
77
4/06/2013
Winter Nomads
77
27/09/2013
Caesar Must Die
77
6/02/2013
God Loves Uganda
77
11/10/2013
A Band Called Death
77
28/06/2013
A Touch of Sin
76
4/10/2013
Blue Caprice
76
13/09/2013
Like Someone in Love
76
15/02/2013
Philomena
76
22/11/2013
Something in the Air
76
3/05/2013
Nana
76
"Jan 25, 2013"
The Unspeakable Act
76
1/03/2013
Ain't in It for My Health: A Film About Levon Helm
76
"Apr 19, 2013"
"Nancy, Please"
76
24/05/2013
Lore
76
8/02/2013
Dirty Wars
76
7/06/2013
The Hunt
76
12/07/2013
This Ain't California
76
"Apr 12, 2013"
Tokyo Waka: A City Poem
76
"Aug 28, 2013"
We Steal Secrets: The Story of WikiLeaks
76
24/05/2013
The Past
76
"Dec 20, 2013"
Tim's Vermeer
76
"Dec 6, 2013"
Night Across the Street
76
8/02/2013
Reality
76
15/03/2013
Mud
76
"Apr 26, 2013"
Dead Man's Burden
76
3/05/2013
Sound City
76
"Jan 31, 2013"
An Oversimplification of Her Beauty
76
"Apr 26, 2013"
After Tiller
75
20/09/2013
Is the Man Who Is Tall Happy?
75
22/11/2013
Muscle Shoals
75
27/09/2013
Harry Dean Stanton: Partly Fiction
75
13/09/2013
Rush
75
20/09/2013
The Hunger Games: Catching Fire
75
22/11/2013
Graceland
75
"Apr 26, 2013"
Side Effects
75
8/02/2013
The Punk Singer
75
29/11/2013
Paradise: Hope
75
"Dec 6, 2013"
What Maisie Knew
74
3/05/2013
Augustine
74
17/05/2013
Porfirio
74
8/02/2013
Computer Chess
74
17/07/2013
Caucus
74
8/11/2013
Frozen
74
27/11/2013
Welcome to Pine Hill
74
1/03/2013
Plimpton! Starring George Plimpton as Himself
74
22/05/2013
Ain't Them Bodies Saints
74
"Aug 16, 2013"
The Attack
74
21/06/2013
Happy People: A Year in the Taiga
74
"Jan 25, 2013"
Musicwood
74
"Aug 9, 2013"
Running Wild: The Life of Dayton O. Hyde
74
4/10/2013
Becoming Traviata
74
15/05/2013
The Pirogue
74
"Jan 23, 2013"
Prisoners
74
20/09/2013
Old Dog
74
15/05/2013
The Stone Roses: Made of Stone
73
6/11/2013
Laurence Anyways
73
28/06/2013
Free Angela & All Political Prisoners
73
"Apr 5, 2013"
Far Out Isn't Far Enough: The Tomi Ungerer Story
73
14/06/2013
Prince Avalanche
73
"Aug 9, 2013"
Golden Slumbers
73
31/10/2013
Pussy Riot - A Punk Prayer
73
31/05/2013
Herman's House
73
"Apr 19, 2013"
The Taiwan Oyster
73
18/10/2013
Approved for Adoption
73
8/11/2013
Uprising (2013)
73
"Jan 11, 2013"
Narco Cultura
73
22/11/2013
The Hobbit: The Desolation of Smaug
72
"Dec 13, 2013"
Still Mine
72
12/07/2013
Our Nixon
72
"Aug 30, 2013"
The Grandmaster
72
"Aug 23, 2013"
In the House
72
"Apr 19, 2013"
Aliyah
72
14/06/2013
Zipper: Coney Island's Last Wild Ride
72
"Aug 9, 2013"
The Bitter Buddha
72
15/02/2013
Star Trek Into Darkness
72
15/05/2013
Pieta
72
17/05/2013
Wuss
72
3/05/2013
Un Flic (re-release)
72
"Apr 19, 2013"
The Silence
72
8/03/2013
My Brother the Devil
72
22/03/2013
The Trials of Muhammad Ali
72
"Aug 23, 2013"
Wolf Children
72
27/09/2013
Stolen Seas
71
"Jan 18, 2013"
"Doin' It in the Park: Pick-Up Basketball, NYC"
71
22/05/2013
I Am Breathing
71
6/09/2013
Koch
71
1/02/2013
This Is Martin Bonner
71
"Aug 14, 2013"
11 Flowers
71
22/02/2013
From Up on Poppy Hill
71
15/03/2013
Following the Ninth: In the Footsteps of Beethoven's Final Symphony
71
1/11/2013
Shadow Dancer
71
31/05/2013
The Pervert's Guide to Ideology
71
1/11/2013
Drinking Buddies
71
"Aug 23, 2013"
I Am Divine
71
25/10/2013
Exit Elena
70
12/07/2013
Herblock: The Black & the White
70
"Aug 16, 2013"
Sun Don't Shine
70
"Apr 26, 2013"
Blood Brother
70
18/10/2013
Casting By
70
26/07/2013
On the Job
70
27/09/2013
Informant
70
13/09/2013
More Than Honey
70
12/06/2013
The Painting (Le Tableau)
70
10/05/2013
The Student
70
"Aug 22, 2013"
Lenny Cooke
70
"Dec 6, 2013"
Évocateur: The Morton Downey Jr. Movie
70
7/06/2013
The Broken Circle Breakdown
70
1/11/2013
We Are What We Are
69
27/09/2013
Sparrows Dance
69
"Aug 23, 2013"
Big Star: Nothing Can Hurt Me
69
3/07/2013
Post Tenebras Lux
69
1/05/2013
You Ain't Seen Nothin' Yet
69
7/06/2013
Genius on Hold
69
1/03/2013
White Reindeer
69
"Dec 6, 2013"
I Used to Be Darker
69
4/10/2013
The Last Time I Saw Macao
69
13/09/2013
Out in the Dark
69
27/09/2013
Ginger & Rosa
69
15/03/2013
Bastards
69
23/10/2013
Sightseers
69
10/05/2013
Terms and Conditions May Apply
68
12/07/2013
The Conjuring
68
19/07/2013
A Place at the Table
68
1/03/2013
The East
68
31/05/2013
Ping Pong
68
28/05/2013
Go Grandriders
68
"Aug 23, 2013"
Fire in the Blood
68
6/09/2013
McConkey
68
11/10/2013
Home
68
22/11/2013
Una Noche
68
"Aug 23, 2013"
Europa Report
68
"Aug 2, 2013"
How to Make Money Selling Drugs
68
26/06/2013
Red Obsession
68
6/09/2013
We the Parents
68
"Aug 16, 2013"
The Place Beyond the Pines
68
29/03/2013
Inequality for All
68
27/09/2013
One Life
68
21/02/2013
American Promise
67
18/10/2013
Future Weather
67
22/02/2013
"The Way, Way Back"
67
5/07/2013
This Is the End
67
12/06/2013
The Wall
67
31/05/2013
Hannah Arendt
67
29/05/2013
Dislecksia: The Movie
67
4/10/2013
The History of Future Folk
67
31/05/2013
The Sapphires
67
22/03/2013
The Armstrong Lie
67
8/11/2013
Crystal Fairy & The Magical Cactus
67
12/07/2013
August: Osage County
67
"Dec 25, 2013"
Birth Story: Ina May Gaskin and The Farm Midwives
67
"Jan 18, 2013"
White Elephant
67
29/03/2013
You Will Be My Son
67
